Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Hong Kong SAR, China",HKG,"Population, female",SP.POP.TOTL.FE.IN,3380202,3419501,3450535,3459990,3503605,3535501,3574074,3619281,3654659,3676363,3717750,3756104,3808534,3833872,3871591,3915630,3945594,3976575,4009595,4040585
"Hong Kong SAR, China",HKG,"Population, male",SP.POP.TOTL.MA.IN,3284799,3294798,3293565,3270809,3279895,3277700,3283026,3297018,3303141,3296437,3306449,3315497,3341565,3345028,3357909,3375671,3391006,3416625,3443005,3467315
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900
Hungary,HUN,"Population, female",SP.POP.TOTL.FE.IN,5351765,5342651,5330345,5317673,5307818,5297522,5288952,5281064,5271691,5262645,5249848,5231665,5200385,5183716,5167145,5151076,5132281,5114655,5101926,5092862
Hungary,HUN,"Population, male",SP.POP.TOTL.MA.IN,4859206,4844925,4828263,4811880,4799327,4789543,4782418,4774715,4766498,4760006,4750174,4740061,4719977,4709367,4699323,4691952,4681743,4673310,4673638,4678279
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141
Iceland,ISL,"Population, female",SP.POP.TOTL.FE.IN,140457,142323,143668,144693,145804,147560,149906,152841,155939,157502,158077,158835,159816,161389,163141,164598,166298,169093,172511,175683
Iceland,ISL,"Population, male",SP.POP.TOTL.MA.IN,140748,142645,143855,144829,146269,149173,153876,158725,161475,160997,159964,160180,160900,162375,164245,166216,169141,174307,180210,184880
Iceland,ISL,"Population, total",SP.POP.TOTL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563
India,IND,"Population, female",SP.POP.TOTL.FE.IN,511410095,520679574,529978166,539178882,548274218,557161047,565762395,574185530,582492785,590747758,599047591,607376801,615647779,623809180,631697152,639323292,647012921,654607791,661854076,668786993
India,IND,"Population, male",SP.POP.TOTL.MA.IN,548223581,558291332,568334873,578236241,587990365,597477666,606611392,615506279,624242020,632892402,641566029,650244390,658839435,667322883,675549357,683543213,691623419,699587889,707149230,714325057
India,IND,"Population, total",SP.POP.TOTL,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050
Indonesia,IDN,"Population, female",SP.POP.TOTL.FE.IN,106407480,107901551,109376745,110834579,112236510,113637675,115112096,116621886,118134983,119636496,121133510,122648363,124183204,125693504,127158711,128574643,129940374,131253454,132530163,133784436
Indonesia,IDN,"Population, male",SP.POP.TOTL.MA.IN,107664942,109210886,110738346,112245542,113702084,115167468,116685330,118236404,119801561,121344803,122882663,124451334,126039491,127582414,129071050,130517327,131909809,133245399,134536680,135798442
Indonesia,IDN,"Population, total",SP.POP.TOTL,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878
"Iran, Islamic Rep.",IRN,"Population, female",SP.POP.TOTL.FE.IN,32308864,32888440,33228012,33525382,34033455,34551612,35065378,35569016,36059993,36554728,37072743,37559635,38062269,38640588,39405613,40336099,41105603,41715123,42283609,42772045
"Iran, Islamic Rep.",IRN,"Population, male",SP.POP.TOTL.MA.IN,33235518,33786412,34099104,34429317,35028219,35630982,36210381,36750402,37258400,37767957,38301112,38783336,39262182,39818340,40556060,41454741,42200628,42789954,43333952,43792157
